Date,Rainfall_total
2016-10-01,5.61
2016-10-02,0.44
2016-10-03,0
2016-10-04,0
2016-10-05,0
2016-10-06,0.1
2016-10-07,0.19
2016-10-08,0
2016-10-09,1.15
2016-10-10,0.57
2016-10-11,0.26
2016-10-12,0.45
2016-10-13,1.6
2016-10-14,9.91
2016-10-15,5.97
2016-10-16,3.05
2016-10-17,2.31
2016-10-18,2.97
2016-10-19,1.23
2016-10-20,1.69
2016-10-21,0.71
2016-10-22,1.03
2016-10-23,1.39
2016-10-24,11.61
2016-10-25,1.55
2016-10-26,0.06
2016-10-27,0.35
2016-10-28,0.06
2016-10-29,0
2016-10-30,0.2
2016-10-31,0.45
2016-11-01,0.5
2016-11-02,1.11
2016-11-03,0.34
2016-11-04,2.05
2016-11-05,1.52
2016-11-06,0.52
2016-11-07,0.41
2016-11-08,4.2
2016-11-09,4.6
2016-11-10,2
2016-11-11,7.8
2016-11-12,0
2016-11-13,0.2
2016-11-14,1.2
2016-11-15,1
2016-11-16,2.2
2016-11-17,3.19
2016-11-18,8.48
2016-11-19,20.95
2016-11-20,11.39
2016-11-21,24.89
2016-11-22,2.56
2016-11-23,0
2016-11-24,0
2016-11-25,0
2016-11-26,0
2016-11-27,0
2016-11-28,0
2016-11-29,0
2016-11-30,0
2016-12-01,0
2016-12-02,0
2016-12-03,0.1
2016-12-04,0
2016-12-05,0
2016-12-06,0
2016-12-07,0
2016-12-08,0.81
2016-12-09,0.56
2016-12-10,8.23
2016-12-11,0.06
2016-12-12,0.8
2016-12-13,1.59
2016-12-14,0
2016-12-15,0.54
2016-12-16,0
2016-12-17,0
2016-12-18,0
2016-12-19,1.01
2016-12-20,0.47
2016-12-21,0.63
2016-12-22,0.94
2016-12-23,3.78
2016-12-24,0
2016-12-25,1.36
2016-12-26,0.38
2016-12-27,0
2016-12-28,0
2016-12-29,0
2016-12-30,0
2016-12-31,0
2017-01-01,5.47
2017-01-02,0
2017-01-03,0
2017-01-04,0.05
2017-01-05,0
2017-01-06,1.06
2017-01-07,2.96
2017-01-08,0.26
2017-01-09,4.76
2017-01-10,1.98
2017-01-11,0.9
2017-01-12,13.66
2017-01-13,3.62
2017-01-14,0.13
2017-01-15,0.34
2017-01-16,0
2017-01-17,0.35
2017-01-18,0
2017-01-19,0
2017-01-20,0
2017-01-21,0
2017-01-22,0.48
2017-01-23,0
2017-01-24,0
2017-01-25,0
2017-01-26,0.1
2017-01-27,1.35
2017-01-28,6.68
2017-01-29,2.26
2017-01-30,2.37
2017-01-31,3.68
2017-02-01,4.15
2017-02-02,12.93
2017-02-03,14.94
2017-02-04,3.03
2017-02-05,0
2017-02-06,3.04
2017-02-07,2.25
2017-02-08,0
2017-02-09,0
2017-02-10,0
2017-02-11,0
2017-02-12,0
2017-02-13,0.11
2017-02-14,1.34
2017-02-15,0.34
2017-02-16,0
2017-02-17,0
2017-02-18,0
2017-02-19,0
2017-02-20,0.1
2017-02-21,0.43
2017-02-22,1.54
2017-02-23,3.24
2017-02-24,0
2017-02-25,1.32
2017-02-26,3.55
2017-02-27,5.88
2017-02-28,1.7
2017-03-01,3.06
2017-03-02,0.07
2017-03-03,9.74
2017-03-04,4.34
2017-03-05,4.95
2017-03-06,3.71
2017-03-07,1.45
2017-03-08,6.51
2017-03-09,0
2017-03-10,0
2017-03-11,0.2
2017-03-12,0.21
2017-03-13,0
2017-03-14,0
2017-03-15,0.05
2017-03-16,0.16
2017-03-17,2
2017-03-18,1.73
2017-03-19,1.09
2017-03-20,7.34
2017-03-21,8.66
2017-03-22,6.2
2017-03-23,3.3
2017-03-24,2.11
2017-03-25,0
2017-03-26,0
2017-03-27,0
2017-03-28,0.82
2017-03-29,0.87
2017-03-30,2.49
2017-03-31,7.21
2017-04-01,2.39
2017-04-02,0
2017-04-03,0.06
2017-04-04,1.13
2017-04-05,0
2017-04-06,0
2017-04-07,0
2017-04-08,0
2017-04-09,0
2017-04-10,0
2017-04-11,0
2017-04-12,0
2017-04-13,0
2017-04-14,0.12
2017-04-15,1.53
2017-04-16,0
2017-04-17,0
2017-04-18,0
2017-04-19,0
2017-04-20,0
2017-04-21,0
2017-04-22,0
2017-04-23,0
2017-04-24,0
2017-04-25,0.94
2017-04-26,0
2017-04-27,0
2017-04-28,0
2017-04-29,0
2017-04-30,23.43
2017-05-01,15.84
2017-05-02,0
2017-05-03,0
2017-05-04,0
2017-05-05,0
2017-05-06,0
2017-05-07,0
2017-05-08,0
2017-05-09,0
2017-05-10,0
2017-05-11,8.48
2017-05-12,1.66
2017-05-13,3.73
2017-05-14,2.36
2017-05-15,1.53
2017-05-16,2.4
2017-05-17,9.42
2017-05-18,0
2017-05-19,0.89
2017-05-20,3.53
2017-05-21,0
2017-05-22,0
2017-05-23,0
2017-05-24,0
2017-05-25,0
2017-05-26,0
2017-05-27,2.31
2017-05-28,0.1
2017-05-29,0
2017-05-30,0.21
2017-05-31,0
2017-06-01,0
2017-06-02,0.89
2017-06-03,0.97
2017-06-04,0.92
2017-06-05,11.87
2017-06-06,4.01
2017-06-07,0.06
2017-06-08,3.5
2017-06-09,0.72
2017-06-10,0
2017-06-11,0
2017-06-12,0.32
2017-06-13,0
2017-06-14,0
2017-06-15,0
2017-06-16,0
2017-06-17,0
2017-06-18,0
2017-06-19,0
2017-06-20,0
2017-06-21,0
2017-06-22,0
2017-06-23,0
2017-06-24,0.75
2017-06-25,0.44
2017-06-26,0
2017-06-27,13.52
2017-06-28,15.92
2017-06-29,8.12
2017-06-30,4.16
2017-07-01,0.42
2017-07-02,0.35
2017-07-03,0
2017-07-04,0.65
2017-07-05,0
2017-07-06,0
2017-07-07,0.18
2017-07-08,0
2017-07-09,0
2017-07-10,0.47
2017-07-11,13.47
2017-07-12,0.98
2017-07-13,0
2017-07-14,0
2017-07-15,0
2017-07-16,0.22
2017-07-17,0
2017-07-18,5.06
2017-07-19,5.01
2017-07-20,1.17
2017-07-21,30.89
2017-07-22,0.7
2017-07-23,0.28
2017-07-24,0
2017-07-25,0
2017-07-26,6.56
2017-07-27,0.42
2017-07-28,0.73
2017-07-29,13.1
2017-07-30,18.44
2017-07-31,0.49
2017-08-01,0.78
2017-08-02,1.87
2017-08-03,0.54
2017-08-04,0.65
2017-08-05,0
2017-08-06,0
2017-08-07,1.72
2017-08-08,4.61
2017-08-09,0.12
2017-08-10,0
2017-08-11,1
2017-08-12,0.19
2017-08-13,0
2017-08-14,14.84
2017-08-15,0
2017-08-16,1.45
2017-08-17,1.95
2017-08-18,2.35
2017-08-19,0.09
2017-08-20,3.66
2017-08-21,1.09
